"Word","Word_Spanish","participant_id","age","sex","task_type","rationale"
"flower","flor","ASPJ9545",42,"male","perceptual","La 'flor' se experimenta mucho visualmente por sus colores y formas, y olfativamente por su aroma característico; el tacto es relevante al sentir sus pétalos. El gusto es bajo salvo en flores comestibles como la de calabaza, la audición es mínima (sólo si se mueve con el viento), y la interocepción es leve, asociada a una sensación de frescura o alegría al verla."
"miracle","milagro","ASPJ9545",42,"male","perceptual","Un milagro lo asocio más con una sensación interna profunda de asombro, esperanza o alivio (interocepción alta). Visualmente, puedo imaginarlo como una luz o un evento inesperado, pero no es tan fuerte. No tiene sabor, y el sonido sería algo secundario, como un susurro de agradecimiento. El tacto y el olfato son casi irrelevantes, salvo por la posible sensación de paz o un aroma ambiental en un contexto religioso."
"treasure","tesoro","ASPJ9545",42,"male","perceptual","Como mexicano, un tesoro lo asocio inmediatamente con imágenes visuales fuertes: un cofre lleno de monedas de oro o joyas brillantes, como en las películas o las historias de piratas. Puedo imaginarme el tacto de las monedas frías y pesadas. No tiene sabor, y el sonido es leve (el tintineo de las monedas). El olor podría ser a metal viejo o polvo, pero es secundario. La sensación corporal es de emoción o anticipación, pero no es lo principal."
"song","cancion","ASPJ9545",42,"male","perceptual","Una canción se experimenta principalmente a través del oído, por eso la audición es 5. Puede evocar imágenes mentales o recuerdos visuales (2) y sensaciones internas como emociones o nostalgia (3). A veces se asocia con el tacto si piensas en tocar un instrumento o sentir vibraciones (1), pero no tiene relación directa con olfato o gusto."
"stone","piedra","ASPJ9545",42,"male","perceptual","La piedra se experimenta principalmente de forma visual (se ve su forma y color) y háptica (se siente su peso, textura y dureza al tocarla o cargarla). El sonido es bajo, solo al golpearla o arrastrarla. No tiene olor ni sabor distintivos, y la sensación interna es mínima, quizá de peso o esfuerzo al levantarla."
"mask","mascara","ASPJ9545",42,"male","perceptual","La 'máscara' se experimenta principalmente de forma visual por su diseño y función, y háptica por la sensación de llevarla puesta en la cara. El olfato puede estar presente si la máscara es nueva, de tela o si retiene olores. Lo auditivo es bajo, aunque algunas máscaras pueden producir un leve sonido al respirar. No tiene sabor y la interocepción es mínima, limitada a la posible conciencia de la respiración o calor en la piel."
"gold","oro","ASPJ9545",42,"male","perceptual","El oro se experimenta principalmente por la vista, por su brillo y color característico; el tacto aporta la sensación de su peso y textura fría y lisa. La audición está presente al pensar en el sonido de monedas o joyas, pero es secundaria. No tiene olor o sabor distintivo, y la sensación corporal es muy baja, quizá solo al llevar una pieza pesada."
"engine","motor","ASPJ9545",42,"male","perceptual","Un motor se experimenta principalmente por la vista (verlo funcionar), el tacto (la vibración) y el oído (el ruido característico). El olforte puede percibir el olor a combustible o aceite caliente, y la sensación interna es la vibración que se siente en el cuerpo. No tiene un sabor asociado directamente."
"abyss","abismo","ASPJ9545",42,"male","perceptual","Un abismo se experimenta principalmente como una imagen visual profunda y vasta (como el Cañón del Sumidero). Genera una sensación corporal de vértigo o vacío en el estómago. El tacto se asocia al borde o a la caída al vacío. El sonido es el del viento o un eco lejano. No tiene sabor ni olor específico en nuestra cultura."
"fire","fuego","ASPJ9545",42,"male","perceptual","El fuego se experimenta visualmente con gran intensidad por sus llamas y colores. El tacto y el olfato son fuertes por el calor que irradia y el olor a leña quemada o humo, comunes en asados o fogatas. La interocepción y audición están presentes por la sensación interna de calor y el crepitar de la leña, pero no son dominantes. El gusto no es relevante, a menos que se asocie con comida asada, pero la palabra en sí no evoca sabor directo."
"art","arte","ASPJ9545",42,"male","action","Como mexicano, experimento el 'ARTE' principalmente con las manos al pintar, esculpir o tocar un instrumento. La cabeza es crucial para la creatividad y la apreciación visual. La boca tiene un papel menor, quizás al cantar o expresar admiración. El torso lo asocio con la emoción que provoca una pieza. Los pies y piernas son los menos involucrados, salvo al visitar un museo o bailar, pero no es la acción central para mí."
"power","poder","ASPJ9545",42,"male","action","El 'PODER' lo experimento principalmente con la cabeza, pues es donde reside la voluntad, la decisión y la autoridad mental para mandar. La boca/garganta también es clave, ya que el poder se ejerce al dar órdenes, hablar con firmeza o imponerse con la voz. La mano/brazo representa la capacidad de actuar, tomar control y ejecutar. El torso, sede del corazón y la fuerza interior, aporta la sensación de poderío y presencia. El pie/pierna tiene una relación menor, aunque el poder puede implicar moverse para imponerse o 'poner el pie', es menos directo."
"emptiness","vacio","ASPJ9545",42,"male","action","El 'VACIO' se experimenta más en la cabeza como una sensación de ausencia o soledad mental. En el torso se siente como un hueco en el pecho o el estómago. La boca/garganta puede sentirse seca o con un nudo. Las manos/brazos tienen poca acción, quizás buscando algo que agarrar. Los pies/piernas casi no participan, salvo en una quietud forzada."
"journey","viaje","ASPJ9545",42,"male","action","Como mexicano, asocio 'VIAJE' fuertemente con la acción de caminar o desplazarse (pie/pierna). La cabeza está involucrada al planear, recordar y observar durante el trayecto. Las manos/brazos se usan para cargar maletas, manejar o señalar caminos. El torso sostiene la postura durante el movimiento. La boca/garganta tiene menor relación, aunque se usa para preguntar direcciones o saborear comida típica en el destino, no es la acción central de viajar."
"ocean","oceano","ASPJ9545",42,"male","action","Como mexicano, el océano lo experimento sobre todo con los pies y piernas al caminar por la playa, meterse al agua o nadar. La cabeza (vista, olfato, sonido) es clave para apreciar su inmensidad. Las manos y brazos se usan para tocar el agua o nadar. El torso siente el agua al sumergirse, pero es menos central. La boca y garganta tienen poca acción directa, quizá solo al tragar agua accidentalmente o sentir la brisa salada."
"war","guerra","ASPJ9545",42,"male","action","La 'guerra' se experimenta mucho con la mano/brazo por el uso de armas y herramientas. La cabeza está involucrada en la planificación y el estrés mental del conflicto. El torso siente el impacto emocional (corazón acelerado) y puede recibir heridas. El pie/pierna se asocia con marchas, desplazamientos y huida, pero es menos central. La boca/garganta tiene que ver con gritos de combate o órdenes, pero es menos representativa de la experiencia completa."
"freshness","frescura","ASPJ9545",42,"male","action","La 'frescura' se experimenta más directamente al beber algo frío con la boca/garganta, y al sentirla en el torso con una brisa o ropa ligera. Con la mano/brazo se puede tocar algo fresco, y con el pie/pierna al caminar descalzo en piso frío. En la cabeza es más una sensación interna de alivio, menos física."
"sponge","esponja","ASPJ9545",42,"male","action","Una esponja se experimenta principalmente con las manos y brazos al usarla para limpiar o absorber líquidos. El torso tiene poca relación, quizás al apretarla contra el pecho. La boca y cabeza no se asocian directamente. Los pies o piernas podrían intervenir si, por ejemplo, se pisa una esponja en la regadera, pero es secundario."
"death","muerte","ASPJ9545",42,"male","action","La 'muerte' se experimenta principalmente en la cabeza como un concepto abstracto que reflexiono y a veces me preocupa. En el torso, la asocio con un vacío o un peso emocional. Con la mano/brazo, pienso en acciones como tocar un ataúd o despedirme. El pie/pierna lo relaciono débilmente con el acto de acompañar a un difunto. La boca/garganta no la asocio, pues no es algo que se saboree o exprese verbalmente de manera física directa."
"bright","brillante","ASPJ9545",42,"male","action","Califico así porque 'brillante' lo asocio principalmente con la vista y la comprensión mental (cabeza), y con la acción de tocar o pulir algo para darle brillo (mano/brazo). La boca/garganta tiene una relación menor, como al describir verbalmente algo brillante. El torso y las piernas no las relaciono con experimentar esta cualidad."
"flower","flor","ASPJ9545",42,"male","action","Como mexicano, experimento 'FLOR' principalmente con la mano/brazo al cortar, arreglar o regalar flores, como en un altar o ramo. La cabeza (excluyendo boca) interviene al inclinarla para olerla o admirarla visualmente. La boca/garganta se asocia con nombrarla, cantar sobre ella (como en corridos) o saborear flores comestibles como la de calabaza. El torso tiene una ligera conexión al inclinarse hacia un arreglo floral o llevar una flor en el pecho. El pie/pierna no tiene una acción directa, ya que no se pisa o se interactúa con la flor usando los pies de manera culturalmente significativa."
"miracle","milagro","ASPJ9545",42,"male","action","Un milagro se experimenta profundamente con la boca/garganta al expresar asombro, agradecimiento o al rezar; con la cabeza al pensarlo, creerlo o maravillarse; con las manos al juntarlas para orar o señalar algo prodigioso; con el torso al sentir una emoción intensa; y poco con pies/piernas, aunque uno podría arrodillarse."
"treasure","tesoro","ASPJ9545",42,"male","action","Como mexicano, un 'tesoro' lo asocio primero con la acción de sostenerlo, guardarlo o desenterrarlo con las manos, de ahí la calificación alta. El torso puede sentir emoción al encontrarlo. La cabeza piensa en su valor y lo imagina. La boca casi no participa, quizás susurrando 'es un tesoro'. Las piernas no tienen una acción directa, más allá de quizás caminar hacia él, pero no es la experiencia central."
"song","cancion","ASPJ9545",42,"male","action","La experiencia de una 'canción' está dominada por la boca y garganta al cantarla o tararearla, y por la cabeza al recordar la letra o la melodía. Las manos y brazos pueden marcar el ritmo o tocar un instrumento, el torso se involucra en la respiración para cantar, y los pies o piernas pueden seguir el compás, pero en menor medida."
"stone","piedra","ASPJ9545",42,"male","action","La experiencia con 'piedra' es principalmente manual: lanzar, cargar o examinar con las manos. Con el pie se puede patear o pisar. La cabeza interviene al observar o, metafóricamente, al ser 'cabeza dura'. El torso puede sentir su peso al cargarla. La boca no tiene una acción directa, salvo en expresiones idiomáticas como 'tragar piedras', pero no es una experiencia física común."
"mask","mascara","ASPJ9545",42,"male","action","Una máscara se experimenta principalmente con las manos al manipularla, colocarla o ajustarla. La cabeza está involucrada al llevarla puesta y sentir su contacto, pero es secundario. La boca/ garganta puede verse levemente afectada si la máscara cubre esa zona y dificulta la respiración o el habla. El torso y las piernas no tienen una relación directa con la experiencia de usar una máscara."
"gold","oro","ASPJ9545",42,"male","action","El oro se experimenta principalmente con la mano/brazo al sostenerlo, pesarlo o trabajar con él (como joyería). La boca/garganta tiene una conexión cultural por frases como 'palabra de oro' o la sensación metálica, y la cabeza por el pensamiento de su valor. El torso tiene una leve relación por llevar cadenas o medallas, y el pie/pierna prácticamente no se asocia con el oro en la experiencia cotidiana."
"engine","motor","ASPJ9545",42,"male","action","Para mí, 'motor' se experimenta principalmente con la mano/brazo porque lo asocio directamente con arrancar, reparar o manipular el motor de un auto o una máquina, una acción muy común en el contexto mexicano. La cabeza tiene una calificación alta por el proceso mental de entender su funcionamiento. El torso siente la vibración cuando está en marcha. Las piernas y la boca tienen menos relación, aunque a veces se pisa el acelerador o se sopla para limpiar una pieza."
"abyss","abismo","ASPJ9545",42,"male","action","Un 'abismo' se experimenta principalmente con la vista y la mente (cabeza), al observar su profundidad y sentir vértigo. Las piernas y pies son clave por la sensación de dar un paso al vacío o la inestabilidad al borde. El torso puede sentir un hundimiento o vacío. Las manos/brazos tienen poca acción directa, y la boca/garganta no se asocia típicamente, a menos que sea por un grito de susto, pero no es la experiencia central."
"fire","fuego","ASPJ9545",42,"male","action","El 'fuego' se experimenta mucho con la mano/brazo al encender un cerillo, sostener una antorcha o cocinar. Con la boca/garganta al soplar para avivarlo o al sentir el calor al comer algo muy caliente. Con la cabeza al observarlo y pensar en su peligro o utilidad. Con el pie/pierna al patear leña o alejarse de las llamas. Con el torso se siente poco, quizá solo el calor al estar cerca de una fogata."
"art","arte","ATOZ5960",34,"female","perceptual","El arte lo experimento principalmente por la vista (pintura, escultura) y genera una fuerte sensación interna de emoción o conexión. El tacto está presente al sentir texturas en una pieza o al crear. El sonido puede acompañar algunas instalaciones, pero no es central. El olfato y gusto son muy ocasionales (olor a pintura, galería) y no definitorios."
"power","poder","ATOZ5960",34,"female","perceptual","El 'poder' lo siento principalmente como una sensación interna de fuerza y control (interoceptiva), y lo visualizo en símbolos como un cetro o una corona. Lo asocio con sonidos de autoridad, como una voz firme o aplausos, y con un tacto firme, como un apretón de manos decisivo. No tiene un sabor u olor definido, aunque a veces se le vincula metafóricamente con sabores intensos u olores dominantes."
"emptiness","vacio","ATOZ5960",34,"female","perceptual","El 'vacío' lo visualizo mucho, como un espacio enorme y desolado, por eso la vista es alta. Lo siento dentro del cuerpo como una opresión en el pecho o un hueco en el estómago. Al tacto podría ser como la falta de peso o contacto, pero no es fuerte. No tiene sabor ni olor, y el sonido sería solo un silencio absoluto, que es raro de experimentar."
"journey","viaje","ATOZ5960",34,"female","perceptual","Un viaje se experimenta sobre todo visualmente (paisajes, lugares nuevos). También genera sensaciones internas fuertes (emoción, cansancio, aventura). Se asocia con sonidos del transporte o idiomas diferentes. El olfato y tacto aparecen con experiencias específicas (olor a mar, asfalto con sol, textura de una maleta). El gusto es menos central, salvo por probar comidas típicas, que es parte de la experiencia pero no la define por completo."
"ocean","oceano","ATOZ5960",34,"female","perceptual","El océano lo veo intensamente en su inmensidad y color, lo escucho claramente en el sonido de las olas, y lo huelo en la brisa salada. Lo toco al sentir el agua, la arena y la textura de las rocas. El gusto es menos directo, solo recuerdo el sabor salado si me entra agua a la boca. Dentro de mi cuerpo lo asocio con la calma, pero también con la fuerza de las corrientes."
"war","guerra","ATOZ5960",34,"female","perceptual","La guerra se experimenta visualmente (destrucción, imágenes de conflicto) y auditivamente (explosiones, gritos). Genera una fuerte sensación interna de angustia o tensión. El olfato y tacto evocan humo, escombros y heridas, mientras que el gusto es menos directo, quizá asociado a polvo o sangre."
"freshness","frescura","ATOZ5960",34,"female","perceptual","La frescura la asocio mucho con el tacto, como el contacto con una superficie fría o una brisa. Visualmente la vinculo con colores claros, agua o vegetación. En el gusto es muy presente, como una fruta fría o una bebida. El olfato puede captarla en ambientes húmedos o limpios. A veces la siento en el cuerpo al refrescarme. El sonido es lo menos asociado, quizá con un viento suave."
"sponge","esponja","ATOZ5960",34,"female","perceptual","Le doy la máxima puntuación al tacto y la vista porque una esponja, ya sea para lavar trastes o de baño, se caracteriza por su textura porosa y su capacidad de absorber, y la vemos a diario. El olfato tiene un 3 porque una esponja húmeda y usada puede tener un olor característico a humedad o jabón. El sonido es bajo porque solo hace un leve rucho al exprimirla. El gusto es 0 porque no es algo que se lleve a la boca. La interocepción es mínima, quizá relacionada con la sensación de limpieza después de usarla."
"death","muerte","ATOZ5960",34,"female","perceptual","La muerte se experimenta sobre todo como un vacío o frío interno muy profundo (interocepción). Visualmente, la asocio con la quietud, el color de la tierra o la ausencia de luz. El tacto es frío y rígido, y el sonido es el silencio o un último suspiro. El olor puede ser a tierra húmeda o a nada, y el gusto es amargo o metálico, pero muy tenue, porque predomina la sensación interna."
"bright","brillante","ATOZ5960",34,"female","perceptual","Le doy la máxima puntuación a lo visual porque 'brillante' se asocia directamente con la luz, el resplandor o algo que destaca a la vista, como un sol brillante o un objeto pulido. En el tacto le pongo un 3 porque a veces lo brillante se siente liso o pulido al contacto. En lo auditivo, un 2, ya que a veces relacionamos un sonido claro o agudo con la idea de brillantez, como una campanilla. En lo interoceptivo, un 1, porque una idea brillante puede dar una sensación interna de claridad o emoción. No lo relaciono con el gusto ni el olfato en el español de México."
"flower","flor","ATOZ5960",34,"female","perceptual","La imagen visual de una flor es lo primero que viene a la mente, muy intensa por sus colores y formas. El olor es también muy característico, aunque no todas las flores huelen fuerte. Se puede sentir su textura al tocarla, pero no es lo principal. Algunas flores pueden comerse, como la de calabaza, pero no es la experiencia común. Casi no hay sonido asociado, y la sensación interna es muy sutil, quizá de tranquilidad."
"miracle","milagro","ATOZ5960",34,"female","perceptual","Un milagro lo siento principalmente como una sacudida interna de asombro y emoción (interocepción), a veces lo visualizo como una luz o un destello. Puede venir acompañado de un susurro, una música o una palabra (audición). No tiene sabor, y el tacto u olor son muy secundarios, quizás el roce de un escapulario o el olor a cera de veladora en un altar."
"treasure","tesoro","ATOZ5960",34,"female","perceptual","Como mexicana, al pensar en 'tesoro' lo primero que visualizo es un cofre lleno de monedas de oro y joyas brillantes, por eso la vista es máxima. Lo táctil viene de la idea de tocar las monedas o las piedras preciosas. La interocepción es baja pero existe por la emoción de encontrar algo valioso. El olfato y el oído son muy tenues, asociados al polvo de un lugar antiguo o al sonido de las monedas, y el gusto no tiene relación."
"song","cancion","ATOZ5960",34,"female","perceptual","Una canción se experimenta principalmente a través del oído, por eso la audición es máxima. Puede generar sensaciones corporales como emoción o escalofríos. A veces se asocia con imágenes de la letra o el artista, pero es secundario. No tiene relación directa con gusto, tacto u olfato en mi experiencia cotidiana."
"stone","piedra","ATOZ5960",34,"female","perceptual","La piedra se experimenta fuertemente al tacto por su textura y peso, y visualmente por su forma y color. El sonido al golpearla o arrastrarla es reconocible. No tiene sabor y rara vez un olor distintivo, aunque a veces huele a tierra o polvo. Puede evocar una sensación corporal de solidez o dureza."
"mask","mascara","ATOZ5960",34,"female","perceptual","Le doy un 5 en visual porque lo primero que viene a la mente es la imagen de una mascarilla o cubrebocas, especialmente después de la pandemia. El tacto (4) es importante por la sensación de la tela o material en la cara. El olfato (3) puede estar presente si la mascarilla tiene un olor propio o si atrapa olores del ambiente. La interocepción (2) es baja pero existe por la sensación de calor o humedad en la nariz y boca al usarla. El sonido (1) es casi nulo, quizá el leve roce al hablar. El gusto (0) no se experimenta a menos que la mascarilla esté sucia o húmeda, lo cual no es parte de la experiencia típica."
"gold","oro","ATOZ5960",34,"female","perceptual","El oro se experimenta principalmente por la vista, por su brillo y color característico. El tacto aporta la sensación de su textura fría y pesada. Auditivamente, solo se asocia al sonido leve de joyas o monedas. No tiene sabor ni olor. La sensación interoceptiva es baja, aunque puede evocar una sensación de valor o lujo."
"engine","motor","ATOZ5960",34,"female","perceptual","Asocio 'motor' principalmente con la vista de un motor funcionando o desarmado, y con el tacto de sus piezas metálicas o vibrantes. El sonido es clave (ruido de un motor encendido). Puede haber una sensación corporal interna de vibración. El olor a gasolina, aceite o metal caliente está presente pero es secundario. No tiene relación con el gusto."
"abyss","abismo","ATOZ5960",34,"female","perceptual","Le doy la calificación más alta a lo visual porque un abismo se imagina primero como un vacío profundo y oscuro que se ve. La interocepción es alta por la sensación de vértigo o vacío en el estómago que provoca. El tacto es moderado por la idea de caer o de aire frío. El sonido es bajo, quizás un eco lejano o viento. El olfato es muy tenue, como a humedad o tierra profunda. El gusto no tiene asociación."
"fire","fuego","ATOZ5960",34,"female","perceptual","El fuego se experimenta sobre todo visualmente (llamas, luz) y por el olfato (olor a leña quemada o humo). El tacto es fuerte por el calor que emana, y el oído percibe el crepitar. Internamente, se siente el calor o una sensación de alerta. No tiene un sabor asociado directamente."
"art","arte","ATOZ5960",34,"female","action","Para mí, el 'arte' se experimenta sobre todo con la mano/brazo al pintar, esculpir o crear manualmente, y con la cabeza al imaginar y concebir ideas. También involucra los pies/piernas al visitar museos, galerías o al bailar. La boca/garganta tiene una relación menor, como al cantar o expresar una opinión sobre una obra. El torso es el que menos asocio, salvo quizá por una reacción visceral o emocional al ver una pieza poderosa."
"power","poder","ATOZ5960",34,"female","action","El 'PODER' lo experimento principalmente con la cabeza, porque es donde se toman las decisiones y se tiene la convicción. La boca y la mano/brazo también son importantes, ya que con la boca se ejerce autoridad al hablar o dar órdenes, y con las manos se ejecutan acciones de control. El torso lo asocio con la fuerza interior y la estabilidad. Los pies y piernas los relaciono menos directamente, aunque pueden representar la base o el movimiento hacia un objetivo de poder."
"emptiness","vacio","ATOZ5960",34,"female","action","El 'vacío' lo experimento principalmente en la cabeza como una idea o emoción abstracta de soledad o falta de sentido (5). En el torso lo siento como un hueco o pesadez emocional en el pecho o estómago (4). En la boca/garganta puede sentirse como una sequedad o un nudo al contener emociones (3). Con las manos/brazos hay poca acción, quizás un gesto de abrir las palmas para mostrar que no hay nada (2). Con los pies/piernas la conexión es mínima, solo si se asocia con caminar sin rumbo o pararse en un lugar desolado (1)."
"journey","viaje","ATOZ5960",34,"female","action","Para mí, 'VIAJE' se experimenta principalmente con los pies y las piernas porque implica desplazarse, caminar y llegar a un lugar. Las manos y brazos también son importantes para cargar maletas, manejar o agarrar cosas durante el trayecto. La cabeza está involucrada al planear y recordar el viaje. El torso tiene una participación menor, quizá por la sensación de movimiento en el cuerpo, y la boca/garganta solo para comer o hablar durante el viaje, no es central."
"ocean","oceano","ATOZ5960",34,"female","action","Experimento el 'OCEANO' principalmente con el torso (5) por la sensación de inmensidad y respiración profunda que provoca. La cabeza (4) está involucrada al observar el horizonte y sentir el viento salado. La mano/brazo (4) al tocar el agua y la arena. El pie/pierna (3) al caminar por la orilla y sentir la corriente. La boca/garganta (2) tiene una participación menor, quizá al saborear la sal o respirar el aire húmedo, pero no es la vía principal de experiencia."
"war","guerra","ATOZ5960",34,"female","action","La 'guerra' se experimenta mucho con la cabeza por el pensamiento estratégico, el miedo y los recuerdos. Con la mano/brazo por el acto de combatir o construir/derribar. El torso siente la tensión y el impacto emocional. La boca/garganta por gritar órdenes o consignas. Los pies/piernas tienen una asociación menor, aunque se vinculan con marchar o huir."
"freshness","frescura","ATOZ5960",34,"female","action","La 'frescura' se experimenta más con la boca/garganta al beber algo frío o comer un helado, y con las manos/brazos al tocar agua fría o sentir la brisa. El torso siente frescura con la ropa ligera o el aire, los pies/piernas menos, y la cabeza casi no, a menos que sea por el cabello con el viento."
"sponge","esponja","ATOZ5960",34,"female","action","Una esponja se experimenta principalmente con las manos y brazos al sostenerla, exprimirla y usarla para limpiar. El torso puede estar involucrado si nos frotamos con ella en la ducha, pero es secundario. La cabeza interviene al inclinarla para ver lo que se limpia o si el jabón cae cerca de los ojos. La boca/garganta y los pies/piernas no tienen una relación directa con la acción de usar una esponja en la vida cotidiana."
"death","muerte","ATOZ5960",34,"female","action","La 'muerte' se experimenta sobre todo en la cabeza, por los pensamientos, recuerdos y el miedo que provoca. En el torso, como un peso o vacío en el pecho. En la boca/garganta, por el nudo al contener el llanto o hablar de ella. Con la mano/brazo, al tocar un cuerpo sin vida o despedirse. Con el pie/pierna, muy poco, quizá al huir simbólicamente de la idea o al sentir debilidad."
"bright","brillante","ATOZ5960",34,"female","action","Lo asocio más con la acción de pulir o limpiar una superficie con la mano para que brille, y con la idea de que algo 'brillante' me hace asentir o abrir los ojos en señal de asombro. Con la boca podría ser al saborear algo frío o metálico, pero es menos común. Con el torso y las piernas la relación es muy débil, quizás solo si se trata de una sensación de calor o energía."
"flower","flor","ATOZ5960",34,"female","action","Experimento 'FLOR' principalmente con la mano/brazo al tocarla, arrancarla o arreglarla en un ramo; con la cabeza al inclinarme para olerla y observarla detenidamente; algo con la boca al nombrarla o describirla; casi nada con el torso (solo quizás al acercarme); y nada con los pies/piernas, ya que no asocio caminar o patear con la experiencia de una flor."
"miracle","milagro","ATOZ5960",34,"female","action","Un milagro se experimenta sobre todo con la cabeza, por la fe, el pensamiento y la creencia que se alojan allí. El torso alberga la emoción fuerte que provoca (como un nudo o mariposas). La boca puede expresarlo con palabras de asombro y las manos pueden juntarse para rezar, pero son acciones secundarias. Los pies tienen poca relación directa, salvo quizás arrodillarse o acudir a un lugar sagrado."
"treasure","tesoro","ATOZ5960",34,"female","action","Como mexicana, un 'tesoro' lo asocio fuertemente con la acción de sostenerlo, guardarlo o acariciarlo con las manos (como una joya o una reliquia familiar). También lo pienso y valoro mucho en la cabeza, con recuerdos o ideas. La boca/garganta tiene una valoración media por la expresión verbal de su valor ('es un tesoro') o la emoción que lo ahoga. El torso recibe una baja calificación por la sensación interna de emoción, y pie/pierna la más baja, ya que no relaciono el tesoro con acciones de desplazamiento o patadas."
"song","cancion","ATOZ5960",34,"female","action","Una canción se experimenta profundamente en la cabeza (al recordarla y pensar en la letra) y en la boca/garganta (al cantarla o tararearla). Con la mano/brazo se marca el ritmo o se toca un instrumento imaginario. El torso puede vibrar con los graves o contener la respiración al cantar. Los pies/piernas se usan para llevar el compás, pero es una acción menos central para la experiencia de la canción en sí."
"stone","piedra","ATOZ5960",34,"female","action","Principalmente experimento una 'piedra' con la mano/brazo al recogerla, lanzarla o examinarla. El pie/pierna entra en juego al patearla o tropezar con ella. El torso puede sentir su peso si la cargo o si me golpea. La cabeza (excluyendo boca) la asocio con la idea o el recuerdo de una piedra, y con verla. La boca/garganta no tiene una relación directa, a menos que se piense en tragarla, lo que no es una experiencia cotidiana."
"mask","mascara","ATOZ5960",34,"female","action","Una máscara se experimenta principalmente con las manos al manipularla, colocarla o ajustarla. También se experimenta con la cabeza, ya que es donde se lleva puesta y se siente su contacto. No tiene una relación directa con el pie, la boca o el torso en su uso cotidiano."
"gold","oro","ATOZ5960",34,"female","action","El oro se experimenta principalmente con las manos al manipularlo, pesarlo o usarlo como joyería. La boca/garganta tiene una conexión por frases como 'palabra de oro' o la sensación metálica, aunque es menos directa. El torso puede relacionarse con llevar un colgante, pero es secundario. La cabeza se asocia con pensamientos de valor o riqueza. Los pies/piernas no tienen una acción típica vinculada al oro en la cultura mexicana cotidiana."
